,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14
10,"3529
",-0.05526341,0.0164061,0.41046077,-0.14116545,0.14273985,-0.008614914,0.19414423,-0.038751375,-0.06766387,-1.2810674,-0.47492442,-0.31382805,0.3086293,0.3330543,0.986542
11,"3577
",0.084313676,0.006535342,-0.10361371,0.326966,0.31851402,0.070351124,-0.07152167,0.17602488,0.17387833,0.09420035,0.17501582,-0.012855666,0.05551675,-0.37213805,-0.11773763
12,"3731
",0.012467039,-0.044222545,0.12701489,0.105889715,0.06649247,0.13991138,-0.40159503,0.043137435,-0.1424817,-0.033331327,-0.12958471,-0.07022159,0.82561123,-0.12757646,0.0005658483
13,"4008
",-0.20899405,-0.010712392,0.9843797,-0.24590261,-0.10092083,-0.029667394,-0.028883003,-0.055422846,0.0021970065,0.15157205,-0.14299761,-0.059823472,0.045767915,0.13344091,-0.1506531
14,"4281
",-0.17801192,0.09952944,-0.13234676,-0.03038497,0.10437604,-0.03147022,0.09943411,0.024570627,0.3887726,0.39872387,0.44036663,0.012610671,0.050505325,0.36550036,0.31699312
15,"4363
",-0.059336476,0.014165634,0.3368403,0.10699899,0.085176095,0.009222131,-0.015299398,0.21678713,-0.00039162335,0.36956316,-0.14612404,-0.10568372,-0.022841265,-0.07439657,0.07540313
16,"4543
",-0.19713409,0.09451281,0.76082,0.1068815,0.2344745,0.19510177,-0.05572816,-0.24602439,0.43094695,0.42834473,0.1532262,-0.13927115,0.16676174,0.13008294,0.1378611
17,"4682
",-0.57526875,-0.028412946,-0.018842973,-0.21733539,0.069706336,0.0024246387,-0.036959283,-0.015769511,-0.62668127,-0.044472903,-0.03810803,-0.044151045,0.18122707,0.4510131,-0.13584779
18,"4723
",-0.12332262,0.019875303,0.023770466,-0.14586455,-0.5256402,-0.321088,0.085122295,0.18770637,-0.34178185,0.17174779,0.4939548,-0.09689388,-0.34680656,0.39355588,-0.060571674
19,"4880
",0.019397423,0.005392117,0.038791366,0.47879237,-0.019363666,0.03822558,1.298995,-0.013584547,-0.18211687,0.23416786,-0.10190313,-0.0010061127,0.6679619,0.12686071,0.292667
20,"5167
",-0.02489567,-0.03970308,-0.032887306,0.13660356,-0.058821313,-0.0013951324,-0.52728444,0.024912238,-0.63138044,0.07945156,0.07488895,-0.075417265,0.91483194,-0.3424181,0.12493967
21,"5286
",0.60692215,-0.004633977,-0.07254741,-0.24271446,0.92199326,0.085641555,0.07097921,-0.05671677,1.0143965,0.26630646,0.18658243,0.026295878,0.08079677,0.32287788,0.025170315
22,"5293
",-0.06847863,-0.0146955345,-0.15040748,-0.048156623,0.28234702,-0.04020615,0.079495154,0.016872216,-0.08280557,0.04777329,-0.45776078,0.028005548,0.2388479,0.38410637,-0.24013771
23,"5368
",0.32337582,-0.028171608,0.017783334,0.44431174,0.25143278,-0.02342245,-0.04459566,-0.07111509,-0.20102584,-0.038022503,-0.07130401,-0.017878931,0.35895666,0.083528444,-0.15819483
24,"5427
",0.073905006,-0.010529238,-0.0117569715,-0.037878305,-0.2302027,-0.11760461,-0.15438798,0.11141216,-0.21108466,-0.39965,0.019384354,0.019176565,0.1368161,0.24695526,-0.021835517
25,"5508
",-0.048318848,-0.045124374,1.2450831,-0.05117863,-0.10608666,8.7829154e-05,-0.02238277,-0.023939755,-0.051072337,-0.079429,0.049706817,-0.039841134,-0.075189896,-0.030599374,0.037288312
26,"5532
",-0.12401687,0.0012780469,0.06127662,0.139444,0.4362811,-0.07574754,0.10192719,0.74345946,-0.07504799,0.113642134,-0.041645043,0.14408648,0.13488202,-0.18035507,-0.087362096
27,"5575
",0.8542959,-0.026744789,1.0788871,-0.46606046,-0.40858796,-0.07223435,0.18704705,0.3978012,-0.049854957,0.04152266,-0.11578214,0.008866315,-0.1716464,0.3040058,-0.017492974
28,"5677
",-0.042966336,-0.029792646,0.08248391,-0.009563837,-0.055453844,0.09008187,-0.07401857,0.1592114,-0.22167611,0.06537836,0.019955229,0.1387893,-0.33795506,-0.025679186,0.07757417
29,"5679
",0.033146583,0.014303168,0.62866974,0.5058296,0.61508685,0.016483523,0.09718452,0.15702747,0.012124117,-0.09387605,-0.43700004,0.020748876,0.018629963,-0.11691753,0.17005312
30,"5745
",-0.008281317,-0.012109939,0.016787654,0.8090571,-0.09705755,0.09935937,0.23106384,0.00739126,-0.04763581,-0.094948985,-0.10626359,0.12616019,-0.060197666,-0.36379865,0.021622395
31,"5858
",0.0009322581,-0.005876429,0.31649518,-0.042831905,-0.072517246,-0.21360639,0.37627444,-0.0047807815,0.011233834,0.16840424,-0.2217303,0.010948459,-0.07801819,0.1688233,-0.24452186
32,"5962
",0.70303327,-0.019977678,-0.11097237,1.1299868,-0.30697304,0.13590147,0.1675563,-0.01683224,-0.08093897,-0.79909366,0.8519788,0.20069835,-0.12075138,0.00018222854,0.25926757
33,"6194
",-0.02899825,-0.03605672,0.008680966,0.64447033,-0.092105575,-0.102918796,0.10116266,-0.1512373,-0.03433154,-0.16127077,-0.435075,-0.002872982,0.34221295,-0.07922149,0.3817013
34,"6195
",-0.45846564,-0.019605648,0.029626489,0.66698503,0.004897615,0.035149693,0.18126778,0.030597094,-0.005817472,-0.03466932,0.33781916,0.051829822,-0.57215613,0.20729773,0.07156597
35,"6196
",0.03434255,0.0076783625,0.3339732,-0.10534428,-0.010548673,-0.01722951,0.002927334,0.15874723,-0.10552148,0.12018734,0.11291303,-0.03446966,0.32489622,0.16647491,0.040901367
