,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14,ideal_point_15,ideal_point_16,ideal_point_17,ideal_point_18,ideal_point_19,ideal_point_20,ideal_point_21,ideal_point_22,ideal_point_23,ideal_point_24,ideal_point_25,ideal_point_26,ideal_point_27,ideal_point_28,ideal_point_29
10,"3529
",0.578531,0.009136539,-0.14721923,-0.23884715,-0.2545234,0.052803237,0.027374243,0.045570586,-0.038658045,0.047559023,0.05363198,-0.040842053,-0.0037762548,0.110925704,-0.012164923,0.08880172,-0.22996034,0.5800585,-0.04724648,0.022572983,0.015302515,-0.0027156277,-0.017910149,1.3193688,0.04512913,0.036027018,-0.03034974,0.23229772,-0.009615298,-0.007883478
11,"3577
",0.05349944,0.0049364166,0.03826542,-0.016813397,-0.20800628,0.005533141,0.0053842613,0.13786335,-0.033059582,0.049642682,0.21122715,0.03698824,-0.016936421,-0.00011780066,0.09117746,0.42762023,0.037844572,-0.04890743,-0.110602975,-0.023185052,0.089442864,-0.0060433527,0.014364229,-0.08030063,-0.029594583,0.055636663,-0.02586441,0.02217059,0.06836057,-0.06585223
12,"3731
",0.42153797,0.023473108,-0.016712027,-0.2545711,0.32555425,-0.008186813,-0.22373761,-0.062927715,-0.037704132,0.36262625,0.55514413,0.2129641,0.0021648572,0.015150525,0.03439147,0.4860374,-0.0891023,0.13269064,0.09658316,0.065945394,-0.04202828,0.08074516,0.0009952678,-0.07637133,0.05724464,-0.011917995,-0.024284262,0.021580875,0.06715064,-0.017651308
13,"4008
",-0.11264847,0.0060432428,0.036209434,0.02439769,0.0255393,0.06748865,0.18771867,0.120769806,-0.006158879,-0.10005172,-0.10127967,-0.12507528,-0.010656654,0.04245906,-0.0052418658,-0.35652208,0.07370035,0.47532454,0.12955235,-0.061119307,-0.06809949,-0.035061203,0.012309922,-0.04314205,0.041609433,0.015985155,-0.0012539935,-0.16971037,0.022754418,0.023323787
14,"4281
",-0.16945559,-0.012604286,0.03632379,-0.055540323,-0.08677733,-0.0072906143,0.020382803,-0.055842526,-0.031768013,0.25765106,-0.33292645,0.13541044,0.0030144968,-0.011338234,0.17031221,0.019788496,0.08150924,-0.17749098,-0.062832646,0.018536828,-0.024694856,-0.037334796,-0.010083906,-0.065759,0.010882761,0.009189501,-0.028672222,0.24246213,0.03258661,0.106659636
15,"4363
",0.06832147,0.010798495,-0.008380349,-0.12612875,-0.089621864,-0.002440059,-0.0064531034,-0.00048570466,0.05397697,0.010373253,0.2492627,-0.17014089,0.0017432634,-0.0038514275,-0.016438922,0.06302874,0.25663334,0.19931321,-0.1939599,0.022482075,-0.25355953,0.07835185,-0.017711515,-0.05373599,0.05678186,0.03136775,-0.011094648,-0.094294466,0.06422706,-0.020432422
16,"4543
",-0.024108004,-0.008224403,0.022203969,0.04615493,-0.1619497,0.059667975,0.02688802,-0.061394967,0.22065786,-0.18663399,0.53641254,0.07728165,0.005503115,0.20837682,0.07710744,0.004924043,0.14003457,-0.25451759,-0.6011557,0.012224568,0.00077403605,-0.0025512737,-0.0063904156,-0.035762973,-0.013083962,-0.18109833,0.0032466594,-0.22515841,-0.07510281,-0.02891365
17,"4682
",-0.22986124,0.0073183863,-0.021813557,-0.13865028,0.5118834,0.012006429,0.2558282,0.051344857,-0.011052379,-0.28408346,-0.4055395,0.385783,0.014558752,0.030163102,-0.016617546,0.08724837,0.008560708,-0.091579795,0.29844588,0.015841216,0.062225737,-0.019908354,-0.015618558,-0.06267974,0.039108064,0.01964994,0.036741644,0.07161927,0.014365991,0.030530827
18,"4723
",-0.3782679,0.033806164,-0.0010073106,-0.0022784371,0.0744637,0.02177735,0.040180404,0.098041505,-0.0013888296,-0.06825848,0.06807681,-0.16353676,-0.0008668072,-0.047585554,-0.011568554,0.089109026,0.07409116,-0.55215186,-0.30086568,0.03619354,0.45345885,-0.009751449,-6.212739e-05,-0.059186302,-0.03154947,-0.32998863,-0.019883806,0.005372294,0.08373313,0.058496565
19,"4880
",-0.02775528,-0.011610947,-0.024792256,-0.023067808,0.17029594,-0.8540139,0.08402176,-0.2680297,-0.029274598,-0.3472006,-0.007413254,0.13146001,0.01008426,0.0014776211,-0.037046984,0.09614063,-0.025942348,0.0009588452,0.19438985,-0.00032789484,0.02293414,-0.025012484,0.007326482,-0.09893104,0.045051545,0.112780854,0.014619403,0.022857329,0.3804225,-0.019249229
20,"5167
",-0.07964161,0.043635592,0.0034863455,0.02246161,0.75920695,0.037043553,-0.3108579,-0.06290722,0.044815365,-0.48775038,-0.14520445,-0.06846763,0.008894306,-0.01558103,0.057279877,0.23405345,-0.04106872,-0.094696544,-0.12309448,0.08904637,0.09110579,-0.020517966,0.011503172,-0.105258554,-0.07251349,-0.07918875,0.0069668847,-0.0003250772,0.002982972,-0.006707512
21,"5286
",0.6943989,0.008138262,-0.012170572,-0.12490801,0.004394682,0.008268551,0.025343778,0.024179766,0.0438035,0.030376207,0.10584023,0.038580857,0.0006792441,-0.020279856,0.10033201,0.18399735,0.06419816,0.030079158,-0.49922195,0.94243294,-0.93694127,-0.021466501,-0.0072222487,-0.06828643,-0.032115225,0.016024072,0.0070855697,0.05905231,0.061668485,-0.012203967
22,"5293
",0.24349304,0.0056829606,0.007453773,-0.008541421,-0.14690651,0.005017876,0.057888642,-0.057999216,0.04744176,-0.089771,-0.006806723,-0.06644478,-0.0029632049,0.0033320694,0.0054892073,0.19690236,-0.113141045,0.034274537,-0.18212919,0.011671983,0.037592683,-0.018893939,0.00195967,-0.021238066,0.04716958,0.040168002,-0.027641816,0.68346393,-0.003984695,0.021138383
23,"5368
",0.06728753,0.0027213807,0.042747155,-0.19793613,0.35291928,0.044223614,-0.0686028,0.111561954,-0.027522415,-0.018943937,-0.12855756,0.135483,0.014147653,-0.003052449,0.15710752,0.22772588,0.0829759,0.030193046,-0.060479164,0.08472272,-0.044772107,-0.0021809728,0.003941766,-0.0818373,0.07429742,0.025909659,-0.05902501,0.0592463,-0.08625589,-0.0033128415
24,"5427
",-0.10824365,0.008073389,-0.002154117,0.009367734,-0.4235628,0.024028776,-0.9592721,-0.0053935233,-0.05161845,0.12876964,0.22082579,0.01407764,0.012199174,-0.029833205,-0.0044774986,-0.025013246,0.016592858,-0.010616702,-0.63383484,-0.054370917,0.37638292,0.014524626,0.002529857,-0.055994075,0.047119163,0.03057662,0.009036157,0.12311324,-0.0042733387,0.0033985053
25,"5508
",-0.1292327,0.00040255632,0.023923824,0.02069811,-0.07765951,-0.031779632,0.007871794,-0.043274917,-0.032869503,0.051300354,-0.054656744,-0.038776144,-0.014531449,0.047809068,-0.06179066,-0.017056268,-0.017256495,1.1888427,0.10970001,-0.121959604,-0.025159586,0.008171238,-0.001930103,-0.017351974,0.015593188,-0.013305547,0.01330923,-0.02412964,0.01943157,-0.024975171
