,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14,ideal_point_15,ideal_point_16,ideal_point_17,ideal_point_18,ideal_point_19,ideal_point_20,ideal_point_21,ideal_point_22,ideal_point_23,ideal_point_24,ideal_point_25,ideal_point_26,ideal_point_27,ideal_point_28,ideal_point_29
10,"2157
",0.07905101,0.00042364714,0.016146023,0.023561226,-0.03607961,-0.028091537,0.034948736,-0.06767374,-0.37345314,0.021360742,-0.07180848,-0.021639753,0.015355152,0.03150976,-0.04519108,-0.011446159,0.0706357,0.024295852,-0.44205266,0.014991859,0.5325962,-0.00051203684,0.123683915,0.0012491269,-0.025441816,0.02650991,0.04283443,-0.06268724,0.018857075,0.0050760093
11,"2164
",1.4283966,0.3603605,0.04907474,-0.13320288,-0.020700727,0.012033564,0.070454985,0.11672914,-0.09389339,-0.07950428,0.1467694,0.1760906,0.03658654,-0.13268036,-0.024669766,0.0022842055,-0.16596015,0.054894347,0.0054638195,0.05125471,0.09879293,-0.00093451305,-0.06695777,-0.031626076,0.07893367,-0.18098937,0.09419522,0.42604783,-0.0016289292,-0.009453468
12,"2425
",-0.0029871627,0.47015926,0.13291794,-0.002682315,0.024591401,0.008315152,0.09134206,0.15970771,-0.084048524,-0.008766441,0.06922123,0.2075416,0.018921386,0.53449094,0.228918,-0.12582695,-0.1323375,0.11669068,-0.17982323,0.0983543,0.14334317,0.00503957,0.06381568,0.02381576,0.15078494,0.053852968,0.08120871,-0.46201444,-0.04335952,-0.09258004
13,"3330
",-0.06386264,0.18358105,-0.058433667,-0.09381774,0.03938592,-0.0061248075,-0.00091759214,-0.012140456,-0.20931849,0.026809165,-0.5283187,1.0673554,-0.02737671,0.19195363,-0.034054182,0.039758325,-0.056141857,-0.030082682,-0.07536856,-0.01636405,-0.18328494,-0.023036245,0.020645726,0.0062268823,0.06418262,0.02287642,-0.08860322,0.02376394,-0.099007875,-0.033176575
14,"3332
",-0.43560246,0.4043503,0.13933772,-0.055617057,-0.111051075,-0.008681408,0.2312207,-0.03527203,-0.0035900797,0.06574887,-0.048663028,-0.010215063,0.04680161,-0.008632488,-0.116549484,0.100751534,0.009179286,-0.1515301,0.18189111,0.055100515,-0.031847388,-0.023650331,-0.08880351,-0.0407672,-0.3239305,-0.013900207,0.2205097,-0.21433984,0.0037328517,0.028645372
15,"3529
",-0.43214554,-0.006463632,0.14473672,-0.16643496,-0.11578797,-0.010934072,-0.42195988,-0.10389145,-0.13022369,-0.057171267,0.05047591,0.020034388,0.0072620152,0.073217474,-0.03879159,-0.2753341,-0.035536636,-0.19679256,-0.019792361,0.018830765,0.3993325,-0.005162161,0.004300288,0.034655523,-1.4499677,0.0378404,0.22032186,0.05425445,-0.0051762373,-0.015039572
16,"3577
",-0.037391257,0.2153607,0.061196014,-0.1365206,-0.85713184,-0.010461197,-0.1488025,0.27576315,-0.3113539,-0.029957458,-0.104625806,-0.01163158,-0.073403105,0.005914617,-0.098330766,0.038065758,-0.039692305,-0.47556174,-0.019004408,0.022124901,0.06435673,0.0003500396,0.03176403,0.019829756,0.13124605,0.0051913685,0.22470903,-0.08617738,0.009620591,-0.03036233
17,"3731
",-0.47890392,-0.33245382,0.31219676,-0.06504984,-0.19528432,0.0012994844,0.23909254,-0.10137635,0.050374743,0.089953765,0.009105892,0.31304476,0.012796495,0.028170161,-0.1726948,0.18267971,-0.02213304,-0.3249555,0.043818302,0.057323933,-0.114991315,-0.03603952,-0.017337259,0.009293122,-0.023099788,0.04744575,0.04833631,0.13067694,0.0026213438,0.12845927
18,"3935
",-0.6914109,-0.05111457,0.021414757,0.30065092,0.32367945,-0.005586478,-0.23258416,-0.3216525,-0.007767129,0.11480025,0.027468987,0.032896407,-0.08873711,-0.07003798,0.01419547,0.44236946,0.032984056,1.033603,0.10651592,-0.577019,-0.62728673,0.0025426801,-0.06470034,-0.037322897,-0.10415054,0.046376403,0.38553187,0.26284683,0.019722369,-0.01022064
19,"4008
",-0.05509761,0.1284805,-0.005704975,-0.18145867,0.009934424,0.019643355,-0.05333979,-0.17348664,-0.074052125,-0.047512613,-0.070560664,0.026622174,-0.011957174,-0.015374284,-0.0063493266,0.02519646,-0.07887203,0.018266572,-0.037164856,0.09872739,0.0017527471,0.010408359,-0.016917374,0.0072573754,0.14067024,0.016964346,0.12809746,0.10981694,-0.01838043,-0.119350925
