,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14
18,"4723
",-0.3633388,-0.15338051,-0.029816149,-0.020356145,0.0015118737,0.076495916,0.008615112,0.013510315,0.06342126,0.04349341,0.0024014665,-0.24995351,-0.06667461,0.03169467,-0.10126606
19,"4880
",0.22555085,0.10647161,0.01604951,-0.014889995,-0.0027780505,-0.0820377,-0.021835385,0.07074056,-0.013759804,-0.042977884,0.04676417,-0.30607572,0.105953425,0.0038425887,0.3432475
20,"5167
",-0.0764778,0.07795643,0.11393485,-0.59800917,-0.36152247,-0.09730141,-0.024725664,-0.0061961375,-0.10337424,0.038805515,-0.028087493,0.13497336,0.47976452,0.026669353,0.033601627
21,"5286
",-0.40888315,-0.6998152,-0.3491104,0.03439426,0.55746186,-1.6476333,0.012184146,0.03478997,-0.1873137,0.053655617,-0.22576043,-0.06925166,0.29885596,0.029956583,-0.3248747
22,"5293
",0.25486016,-0.06857947,0.17273076,0.0565617,-0.01207548,-0.17534642,-0.022767084,0.06386817,-0.10285835,0.036437,-0.024184426,-0.52477765,-0.059767317,0.025131632,0.5916362
23,"5368
",-0.39320067,-0.03755348,-0.5850897,0.055624135,0.0121482825,0.06470136,-0.012311188,0.025909763,0.089051925,0.017263552,0.027159477,0.16884612,0.37266433,0.03106568,-0.24130997
24,"5427
",-0.15297838,-0.2918513,0.32293248,0.077541925,-0.0072238254,0.10694552,-0.028651817,-0.2847645,-0.096323885,0.04694227,0.07302482,-0.037725355,-0.03341322,0.008324161,-0.120663255
25,"5508
",0.058081374,0.010776923,-0.038676165,0.04360559,0.017029706,0.12880246,-0.011091977,0.08955349,0.7942478,0.03188436,0.03343281,-0.037555795,-0.06764649,0.032756068,-0.15604007
26,"5532
",0.039879702,-0.07418501,-0.03819069,-0.100614004,0.054072093,0.002218312,-0.016813241,-0.10206843,0.12506899,0.05332383,0.012585266,-0.6959336,0.080889106,0.0038969049,-0.1287419
27,"5575
",-0.025286628,0.013552186,0.05446132,-1.005059,0.05664205,0.06168037,0.07877128,0.0037786453,0.9157603,0.014970737,0.013150394,-0.32989028,0.04915067,0.0069162454,0.06029629
28,"5677
",-0.29349995,-0.06248173,-0.120879896,0.039871745,0.13158312,0.021310912,0.011468731,0.015561067,0.1827349,0.34215102,0.061903317,-0.32468987,0.053119596,0.01746666,-0.12276657
